epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,152.591,2.04325,1.28169,0.00354,0.80026,0.77058,0.82966,0.32722,2.15417,0.91243,0.00374,9.39718e-05,9.39718e-05,9.39718e-05
135,153.709,2.0908,1.29311,0.00362,0.7719,0.76705,0.80299,0.32081,2.15046,0.9166,0.0037,8.88964e-05,8.88964e-05,8.88964e-05
136,154.816,2.11014,1.21176,0.00322,0.76421,0.77225,0.79598,0.31856,2.15182,0.91547,0.00372,8.3821e-05,8.3821e-05,8.3821e-05
137,156.107,2.02317,1.23895,0.00356,0.77054,0.77643,0.80226,0.3126,2.15851,0.90749,0.00374,7.87456e-05,7.87456e-05,7.87456e-05
138,157.183,2.05231,1.27877,0.00368,0.7658,0.77026,0.79513,0.31264,2.15791,0.91962,0.00375,7.36702e-05,7.36702e-05,7.36702e-05
139,158.289,1.94952,1.32282,0.00381,0.75105,0.76989,0.79563,0.31213,2.16825,0.93213,0.00383,6.85948e-05,6.85948e-05,6.85948e-05
140,159.357,1.95584,1.22065,0.00342,0.75806,0.76431,0.79471,0.31228,2.17169,0.92916,0.00388,6.35194e-05,6.35194e-05,6.35194e-05
141,164.349,2.08305,1.65855,0.00403,0.75471,0.77251,0.79942,0.31212,2.16217,0.94761,0.00389,5.8444e-05,5.8444e-05,5.8444e-05
142,165.415,2.08202,1.67688,0.00394,0.75254,0.76309,0.79092,0.31084,2.17671,0.95124,0.00392,5.33686e-05,5.33686e-05,5.33686e-05
143,166.473,2.12909,1.65705,0.00371,0.77519,0.75727,0.7921,0.30892,2.18838,0.94906,0.00399,4.82932e-05,4.82932e-05,4.82932e-05
144,167.595,2.06524,1.65206,0.00396,0.77779,0.76289,0.79209,0.31042,2.19256,0.95924,0.00399,4.32178e-05,4.32178e-05,4.32178e-05
145,168.649,2.00389,1.60611,0.00412,0.79277,0.7669,0.80714,0.31016,2.20154,0.96266,0.00401,3.81424e-05,3.81424e-05,3.81424e-05
146,169.725,2.02365,1.58187,0.00364,0.79981,0.75353,0.80221,0.30687,2.21121,0.96714,0.00402,3.3067e-05,3.3067e-05,3.3067e-05
147,170.786,2.08848,1.56492,0.00397,0.80034,0.7515,0.80141,0.30551,2.20563,0.97783,0.004,2.79916e-05,2.79916e-05,2.79916e-05
148,171.859,2.0125,1.54665,0.00392,0.79125,0.7533,0.79624,0.30511,2.19951,0.97709,0.00398,2.29162e-05,2.29162e-05,2.29162e-05
149,172.939,2.03714,1.50096,0.00362,0.78812,0.75011,0.79451,0.30356,2.20848,0.96856,0.00398,1.78408e-05,1.78408e-05,1.78408e-05
150,173.983,2.06387,1.50812,0.00373,0.78275,0.75134,0.79338,0.30408,2.20119,0.9805,0.00395,1.27654e-05,1.27654e-05,1.27654e-05
